Retained internal modes,Reduction time (s),Eigenproblem time (s),CB Mode 1 error (%),CB Mode 2 error (%),CB Mode 3 error (%),CB Mode 4 error (%),CB Mode 5 error (%),CB Mode 6 error (%),CB Mode 1 freq,CB Mode 2 freq,CB Mode 3 freq,CB Mode 4 freq,CB Mode 5 freq,CB Mode 6 freq,GI Mode 1 freq,GI Mode 2 freq,GI Mode 3 freq,GI Mode 4 freq,GI Mode 5 freq,GI Mode 6 freq,GI Mode 1 error (%),GI Mode 2 error (%),GI Mode 3 error (%),GI Mode 4 error (%),GI Mode 5 error (%),GI Mode 6 error (%),Full Mode 1 freq,Full Mode 2 freq,Full Mode 3 freq,Full Mode 4 freq,Full Mode 5 freq,Full Mode 6 freq
31,0.8915618000319228,0.0005849000299349427,0.005733505931020335,0.06379704024585507,0.12481667238806868,0.5158551295020238,0.6620663969132694,0.095012866761537,2.573164735486068,6.8484164511042644,10.869393271136055,12.982930700676087,13.958422829640707,14.89133609851948,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
32,0.7530846999725327,0.000471399980597198,0.00573340505742654,0.0637823707029312,0.12481664166429354,0.5158244300242972,0.6620663968240073,0.09501063173436501,2.573164732890573,6.84841544711339,10.86939326780073,12.982926735439047,13.95842282962833,14.891335766009998,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
33,0.7102421000017785,0.0004695000243373215,0.005731034311926909,0.06373038792563433,0.12481660179676309,0.5154170129819555,0.6620662860574164,0.09501039769929305,2.573164671890883,6.848411889386043,10.869393263472773,12.98287411222632,13.95842281426875,14.89133573119213,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
34,0.8469343000324443,0.00047699996503069997,0.005730588693167271,0.062125354922422805,0.12481651953510249,0.5147755645540186,0.6620662751504222,0.09426449239484073,2.5731646604250358,6.848302040122384,10.869393254542576,12.982791260814697,13.95842281275632,14.891224761361885,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
35,0.8151205999893136,0.0004889999981969595,0.00573045384086632,0.06212523282811384,0.12480616012274118,0.5147503979434249,0.6620642463892685,0.094260570163807,2.573164656955263,6.848302031766188,10.869392129940996,12.982788010219446,13.958422531435788,14.891224177843696,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
36,0.9135984000167809,0.0006545000360347331,0.005730453820085914,0.06212522502661888,0.12480600644011475,0.514749218319638,0.6620393973937942,0.09425711780769143,2.573164656954728,6.84830203123225,10.869392113257451,12.982787857855683,13.958419085720852,14.891223664229743,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
37,0.7921027999836951,0.000464599987026304,0.005696052041030597,0.06208871421548087,0.12342388763059765,0.5121859722365458,0.6618598359286921,0.09404483759717586,2.573163771791032,6.848299532414026,10.86924207260432,12.982456781268585,13.958394186620888,14.891192082876474,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
38,0.7915120999678038,0.0008262000046670437,0.00569565420641631,0.06208871008106918,0.1232719303965556,0.5121849568284007,0.6433990346567218,0.09363324803160725,2.573163761554679,6.8482995321310645,10.869225576365006,12.98245665011541,13.955834298083412,14.891130849870153,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
39,0.8306748000322841,0.0006571999983862042,0.005695648040193443,0.062087088343214976,0.12327168510821204,0.5121794785217525,0.6433814577880048,0.09363264345493383,2.573163761396021,6.848299421138512,10.869225549736887,12.982455942520817,13.955831860766413,14.891130759926067,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
40,0.8154089000308886,0.0005938999820500612,0.00569365694924937,0.061797945700236244,0.12326974087697347,0.5114991752969066,0.6433813251700835,0.09359649224568736,2.5731637101649083,6.848279632071023,10.86922533867419,12.982368072506556,13.955831842376794,14.89112538163806,2.670454823842125,7.736831078099955,13.31905813895925,14.882275645646873,41.91793441605411,78.47461271507498,3.787,13.045,22.69,15.221,202.294,427.482,2.5730172113916465,6.844050149675829,10.855843368683603,12.91630129788899,13.866616620606878,14.877200843504195
